Book Name,Book Author,Price,URL
Sparkling Cyanide,Agatha Christie,£590.00,https://rareandantiquebooks.com/first-edition-books/sparkling-cyanide-christie/
They Do It With Mirrors,Agatha Christie,£210.00,https://rareandantiquebooks.com/first-edition-books/mirrors-agatha-christie/
The Seven Dials Mystery,Agatha Christie,£850.00,https://rareandantiquebooks.com/first-edition-books/seven-dials-christie/
Paddington at Work,Michael Bond,£130.00,https://rareandantiquebooks.com/first-edition-books/paddington-work/
Clockwork Orange,Anthony Burgess,£550.00,https://rareandantiquebooks.com/first-edition-books/clockwork-orange-burgess/
Climbing Plants,Charles Darwin,£340.00,https://rareandantiquebooks.com/first-edition-books/climbing-plants-darwin/
Sylvie and Bruno Concluded,L. Carroll,£240.00,https://rareandantiquebooks.com/first-edition-books/bruno-concluded-carroll/
Concrete Island,J. G. Ballard,£120.00,https://rareandantiquebooks.com/first-edition-books/concrete-island-ballard/
Fecondation Croisee,C. Darwin,£270.00,https://rareandantiquebooks.com/first-edition-books/fecondation-croisee-darwin/
Cat on a Hot Tin Roof signed,T. Williams,"£1,550.00",https://rareandantiquebooks.com/first-edition-books/cat-williams/
The Assassin,Liam O’Flaherty,£175.00,https://rareandantiquebooks.com/first-edition-books/assassin/
Undine,Olive Schreiner,£230.00,https://rareandantiquebooks.com/first-edition-books/undine-schreiner/
Meanwhile,H. G. Wells,£95.00,https://rareandantiquebooks.com/first-edition-books/meanwhile-wells/
Tales of Space and Time,H. G. Wells,£440.00,https://rareandantiquebooks.com/first-edition-books/space-time-wells/
Portrait of the Artist,Dylan Thomas,£650.00,https://rareandantiquebooks.com/first-edition-books/portrait-artist-thomas/
Piccadilly Jim,P. G. Wodehouse,"£1,300.00",https://rareandantiquebooks.com/first-edition-books/piccadilly-wodehouse/
A Propos of Lady Chatterley’s Lover,D. H. Lawrence,£120.00,https://rareandantiquebooks.com/first-edition-books/lawrence/
Around the World in Eighty Days,Jules Verne,£540.00,https://rareandantiquebooks.com/first-edition-books/world-eighty-days-verne/
"England, My England",D. H. Lawrence,£340.00,https://rareandantiquebooks.com/first-edition-books/england-lawrence/
Billy Liar,Keith Waterhouse,£195.00,https://rareandantiquebooks.com/first-edition-books/billy-liar-waterhouse/
Fertilisation of Orchids,Charles Darwin,£890.00,https://rareandantiquebooks.com/first-edition-books/fertilisation-orchids-darwin/
Dawn,H. Rider Haggard,£70.00,https://rareandantiquebooks.com/first-edition-books/dawn-haggard/
Just So Stories,Rudyard Kipling,£380.00,https://rareandantiquebooks.com/first-edition-books/just-so-stories-kipling/
Jacob’s Room,Virginia Woolf,£265.00,https://rareandantiquebooks.com/first-edition-books/jacobs-woolf/
Insectivorous Plants,C. Darwin,£690.00,https://rareandantiquebooks.com/first-edition-books/insectivorous/
Adventures of Sherlock Holmes,Conan Doyle,"£2,550.00",https://rareandantiquebooks.com/first-edition-books/adventures-sherlock-holmes-doyle/
Memoirs of Sherlock Holmes,A. C. Doyle,"£1,850.00",https://rareandantiquebooks.com/first-edition-books/memoirs-sherlock-doyle/
Cross and Fertilisation,Charles Darwin,£550.00,https://rareandantiquebooks.com/first-edition-books/cross-fertilisation-darwin/
Different Forms of Flowers,Darwin,£380.00,https://rareandantiquebooks.com/first-edition-books/flowers/
Alice’s Adventures illustrated,Rackham,"£2,300.00",https://rareandantiquebooks.com/first-edition-books/rackham-alices-adventures/
The Tale of Pigling Bland,Beatrix Potter,"£1,650.00",https://rareandantiquebooks.com/first-edition-books/pigling-bland-potter/
Three Comrades,Erich Maria Remarque,£440.00,https://rareandantiquebooks.com/first-edition-books/three-comrades-remarque/
Nicholas Nickleby signed,C. Dickens,"£8,550.00",https://rareandantiquebooks.com/first-edition-books/nicholas-nickleby-dickens-2/
Alice in Wonderland,Lewis Carroll,"£2,050.00",https://rareandantiquebooks.com/first-edition-books/alice-wonderland-carroll/
The Tale of Mrs. Tiggy-Winkle,Beatrix Potter,£790.00,https://rareandantiquebooks.com/first-edition-books/tiggy-winkle-potter/
The Wheels of Chance,H. G. Wells,£265.00,https://rareandantiquebooks.com/first-edition-books/wheels-wells/
The Tale of Flopsy Bunnies,B. Potter,£790.00,https://rareandantiquebooks.com/first-edition-books/flopsy-bunnies-potter/
Debits and Credits,Rudyard Kipling,£240.00,https://rareandantiquebooks.com/first-edition-books/debits-credits-kipling/
On the Road,Jack Kerouac,"£1,050.00",https://rareandantiquebooks.com/first-edition-books/road/
The Wonderful Visit,H. G. Wells,£295.00,https://rareandantiquebooks.com/first-edition-books/wonderful-visit-wells/
Pull My Daisy,Jack Kerouac,£180.00,https://rareandantiquebooks.com/first-edition-books/pull-daisy-kerouac/
Alice’s Adventures in Wonderland,"L. Carroll,","£3,550.00",https://rareandantiquebooks.com/first-edition-books/wonderland-lewis-carroll/
Claudius the God,Robert Graves,£440.00,https://rareandantiquebooks.com/first-edition-books/claudius-god-robert-graves/
Scoop,Evelyn Waugh,£230.00,https://rareandantiquebooks.com/first-edition-books/scoop-waugh/
John O’Dreams,Lady Alix Egerton,£120.00,https://rareandantiquebooks.com/first-edition-books/odreams-alix-egerton/
The Crystal World,J. G. Ballard,£195.00,https://rareandantiquebooks.com/first-edition-books/crystal-world-ballard/
They Found Atlantis,Dennis Wheatley,"£2,050.00",https://rareandantiquebooks.com/first-edition-books/atlantis-dennis-wheatley/
The Tale of Tom Kitten,Beatrix Potter,"£1,050.00",https://rareandantiquebooks.com/first-edition-books/tom-kitten-beatrix-potter/
On English Poetry,Robert Graves,£230.00,https://rareandantiquebooks.com/first-edition-books/english-poetry-robert-graves/
Iscariot,Cecil Roth,£195.00,https://rareandantiquebooks.com/first-edition-books/iscariot-cecil-roth/
The Spy Who Came In From The Cold,"J. Le Carre, signed.",£285.00,https://rareandantiquebooks.com/first-edition-books/spy-cold-carre/
The Tale of Johnny Town-Mouse,B. Potter,£495.00,https://rareandantiquebooks.com/first-edition-books/johnny-town-mouse-potter/
The Earth-Owl,Ted Hughes,£95.00,https://rareandantiquebooks.com/first-edition-books/earth-owl-moon-hughes/
Ginger & Pickles,Beatrix Potter,£320.00,https://rareandantiquebooks.com/first-edition-books/ginger-pickles-beatrix-potter-2/
The Tale of Peter Rabbit,Beatrix Potter,"£6,050.00",https://rareandantiquebooks.com/first-edition-books/tale-peter-rabbit-potter/
The Road Back,Erich Maria Remarque,£685.00,https://rareandantiquebooks.com/first-edition-books/road-back-remarque/
Moonraker,Ian Fleming,"£1,700.00",https://rareandantiquebooks.com/first-edition-books/moonraker-fleming/
To Kill a Mockingbird,Harper Lee,£495.00,https://rareandantiquebooks.com/first-edition-books/mockingbird-harper-lee/
The People’s Rights,W. Churchill,"£1,050.00",https://rareandantiquebooks.com/first-edition-books/peoples-rights-churchill/
His Apologies,Rudyard Kipling,£65.00,https://rareandantiquebooks.com/first-edition-books/apologies-rudyard-kipling/
Chitty Chitty Bang Bang,Ian Fleming,£680.00,https://rareandantiquebooks.com/first-edition-books/chitty-bang-fleming/
Just So Stories,R. Kipling,£495.00,https://rareandantiquebooks.com/first-edition-books/just-so-stories-by-r-kipling/
Memento Mori,Muriel Spark,£190.00,https://rareandantiquebooks.com/first-edition-books/memento-mori-spark/
Nineteen Eighty Four,George Orwell,"£3,800.00",https://rareandantiquebooks.com/first-edition-books/nineteen-eighty-four-orwell/
This Side of Paradise,F. Scott Fitzgerald,£440.00,https://rareandantiquebooks.com/first-edition-books/paradise-scott-fitzgerald/
Mock Beggar Hall,Robert Graves,£330.00,https://rareandantiquebooks.com/first-edition-books/mock-beggar-hall-graves/
Captains Courageous,Rudyard Kipling,£490.00,https://rareandantiquebooks.com/first-edition-books/captains-courageous-kipling/
The Sphinx,Oscar Wilde,£890.00,https://rareandantiquebooks.com/first-edition-books/sphinx-oscar-wilde-2/
Clea,Lawrence Durrell,£255.00,https://rareandantiquebooks.com/first-edition-books/clea-lawrence-durrell/
Mountolive,Lawrence Durrell,£245.00,https://rareandantiquebooks.com/first-edition-books/mountolive-durrell/
On Seeming to Presume,L. Durrell,£120.00,https://rareandantiquebooks.com/first-edition-books/seeming-presume-durrell/
Signed,"T. S. Eliot, Murder in the Cathedral",£780.00,https://rareandantiquebooks.com/first-edition-books/eliot-murder-cathedral/
The Island of Adventure,E. Blyton,£295.00,https://rareandantiquebooks.com/first-edition-books/island-adventure-blyton/
The Child of the Cavern,Jules Verne,£395.00,https://rareandantiquebooks.com/first-edition-books/child-cavern-verne/
To the Lighthouse,Virginia Woolf,"£6,000.00",https://rareandantiquebooks.com/first-edition-books/lighthouse-virginia-woolf-2/
The Spy Who Came In From The Cold,John Le Carre,"£1,300.00",https://rareandantiquebooks.com/first-edition-books/spy-cold-le-carre/
Metropolis,Thea Von Harbou,£230.00,https://rareandantiquebooks.com/first-edition-books/metropolis-von-harbou/
The Sphinx,Oscar Wilde,"£6,550.00",https://rareandantiquebooks.com/first-edition-books/sphinx-oscar-wilde/
Jude the Obscure,Thomas Hardy,£490.00,https://rareandantiquebooks.com/first-edition-books/jude-obscure-thomas-hardy/
Adventures in the Skin Trade,Dylan Thomas,£95.00,https://rareandantiquebooks.com/first-edition-books/adventures-skin-trade-thomas/
Origin of Species,Charles Darwin,"£2,050.00",https://rareandantiquebooks.com/first-edition-books/origin-species-darwin/
Ballads,Alfred Tennyson,£380.00,https://rareandantiquebooks.com/first-edition-books/ballads-signed-alfred-tennyson/
The Third Man,Graham Greene,£785.00,https://rareandantiquebooks.com/first-edition-books/third-man-fallen-idol-graham-greene/
Cetywayo,H. R. Haggard,£550.00,https://rareandantiquebooks.com/first-edition-books/cetywayo-haggard/
Oliver Twist,Charles Dickens,"£1,050.00",https://rareandantiquebooks.com/first-edition-books/oliver-twist-charles-dickens-2/
Dumb Witness,Agatha Christie,£280.00,https://rareandantiquebooks.com/first-edition-books/dumb-witness-agatha-christie/
Nicholas Nickleby,Charles Dickens,£540.00,https://rareandantiquebooks.com/first-edition-books/nicholas-nickleby-dickens/
Angel Pavement,"J B Priestley, signed limited edition",£280.00,https://rareandantiquebooks.com/first-edition-books/angel-pavement-priestley/
A Passage to India,E. M. Forster,£490.00,https://rareandantiquebooks.com/first-edition-books/passage-india-forster/
The Secret Places of the Heart,H. G. Wells,£150.00,https://rareandantiquebooks.com/first-edition-books/secret-places-heart-wells/
The Mystery of Edwin Drood,Charles Dickens,£495.00,https://rareandantiquebooks.com/first-edition-books/mystery-edwin-drood/
The Wind in the Willows,Kenneth Grahame,"£11,000.00",https://rareandantiquebooks.com/first-edition-books/wind-willows-kenneth-grahame-2/
Heavy Weather,P. G. Wodehouse,"£1,550.00",https://rareandantiquebooks.com/first-edition-books/heavy-weather-wodehouse/
The Life and Adventures of Santa Claus,Frank Baum,"£2,550.00",https://rareandantiquebooks.com/first-edition-books/santa-claus-frank-baum/
The Return of the Native,Thomas Hardy,"£4,550.00",https://rareandantiquebooks.com/first-edition-books/native-thomas-hardy/
The First Men in the Moon,H. G. Wells,£540.00,https://rareandantiquebooks.com/first-edition-books/first-men-moon-wells/
The Dynamiter,R. L. Stevenson,£275.00,https://rareandantiquebooks.com/first-edition-books/arabian-dynamiter-stevenson/
A Laodicean,Thomas Hardy,"£3,550.00",https://rareandantiquebooks.com/first-edition-books/laodicean-thomas-hardy/
Three Men in a Boat,Jerome K Jerome,£485.00,https://rareandantiquebooks.com/first-edition-books/three-men-boat-jerome/
The Undying Fire signed,H G Wells,"£1,400.00",https://rareandantiquebooks.com/first-edition-books/undying-fire-signed-wells/
Kidnapped,Robert Louis Stevenson,"£1,650.00",https://rareandantiquebooks.com/first-edition-books/kidnapped-stevenson/
The Mystery of Edwin Drood,Charles Dickens,£880.00,https://rareandantiquebooks.com/first-edition-books/mystery-edwin-drood-dickens/
The Jewel of the Seven Stars,Bram Stoker,£790.00,https://rareandantiquebooks.com/first-edition-books/jewel-seven-stars-bram-stoker/
Miscellanies,Oscar Wilde,£280.00,https://rareandantiquebooks.com/first-edition-books/miscellanies-oscar-wilde/
For the Love of the King,Oscar Wilde,£540.00,https://rareandantiquebooks.com/first-edition-books/love-king-oscar-wilde/
Reviews,Oscar Wilde,£330.00,https://rareandantiquebooks.com/first-edition-books/reviews-oscar-wilde/
A Woman of No Importance,Oscar Wilde,£295.00,https://rareandantiquebooks.com/first-edition-books/woman-importance-oscar-wilde-2/
Wee Willie Winkie,Rudyard Kipling,£440.00,https://rareandantiquebooks.com/first-edition-books/wee-willie-winkie-kipling/
