Book Name,Book Author,Price,URL
Voyage pittoresque au Lac de Garda ou Benaco.,"WETZEL, Johann Jakob.","£30,000.00",https://www.peterharrington.co.uk/voyage-pittoresque-au-lac-de-garda-ou-benaco-111172.html
Die unbesungenen Helden.,"SCHINDLER, Oskar - GROSSMANN, Kurt R (ed.).","£30,000.00",https://www.peterharrington.co.uk/die-unbesungenen-helden-135953.html
The Faerie Queene.,"SPENSER, Edmund.","£30,000.00",https://www.peterharrington.co.uk/the-faerie-queene-162139.html
The Faerie Queene.,"SPENSER, Edmund.","£30,000.00",https://www.peterharrington.co.uk/the-faerie-queene-165717.html
Le Rouge et le Noir.,"STENDHAL, pseud. of Marie-Henri Beyle.","£30,000.00",https://www.peterharrington.co.uk/le-rouge-et-le-noir-161616.html
An Inquiry into the Nature and Causes of the Wealth of Nations.,"SMITH, Adam.","£30,000.00",https://www.peterharrington.co.uk/an-inquiry-into-the-nature-and-causes-of-the-wealth-of-nations-164279.html
"Journal of Researches into the Geology and Natural History of the Various Countries visited by H.M.S. Beagle, Under the Command of Captain Fitzroy, R.N. From 1832 to 1836.","DARWIN, Charles.","£30,000.00",https://www.peterharrington.co.uk/journal-of-researches-into-the-geology-and-natural-history-of-the-various-countries-visited-by-h-m-s-beagle-under-the-command-of-captain-fitzroy-r-n-from-1832-to-1836-167272.html
The Importance of Being Earnest.,"WILDE, Oscar.","£30,000.00",https://www.peterharrington.co.uk/the-importance-of-being-earnest-155294.html
The Trumpet-Major.,"HARDY, Thomas.","£30,000.00",https://www.peterharrington.co.uk/the-trumpet-major-165224.html
"Notices of the Indian Archipelago, and Adjacent Countries;","MOOR, John Henry.","£28,500.00",https://www.peterharrington.co.uk/notices-of-the-indian-archipelago-and-adjacent-countries-132433.html
Now We Are Six.,"MILNE, A. A.","£27,500.00",https://www.peterharrington.co.uk/now-we-are-six-143856.html
Dei delitti e delle pene.,"BECCARIA, Cesare.","£27,500.00",https://www.peterharrington.co.uk/dei-delitti-e-delle-pene-167400.html
"Remarks of General Harrison, Late Envoy Extraordinary and Minister Plenipotentiary of the United States to the Republic of Colombia, on Certain Charges Made Against Him by that Government.","HARRISON, William Henry.","£27,500.00",https://www.peterharrington.co.uk/catalog/product/view/id/5473/s/remarks-of-general-harrison-late-envoy-extraordinary-and-minister-plenipotentiary-of-the-united-states-to-the-republic-of-colombia-on-certain-charges-made-against-him-by-that-government-83709/category/5/
Inquisiciones.,"BORGES, Jorge Luis.","£27,500.00",https://www.peterharrington.co.uk/inquisiciones-145266.html
Uytvindinghe van de nieuwe Instructie van het Italiens Boeck-Houden op Avontuer ter Zee Verdeylt in twee Tomen in een gebonden.,"ANDRIESSENS, J. B. P.. de.","£27,500.00",https://www.peterharrington.co.uk/uytvindinghe-van-de-nieuwe-instructie-van-het-italiens-boeck-houden-op-avontuer-ter-zee-verdeylt-in-twee-tomen-in-een-gebonden-165159.html
"Art militaire des Chinois,","SUN TZU - AMIOT, Jean-Joseph-Marie (trans.).","£27,500.00",https://www.peterharrington.co.uk/art-militaire-des-chinois-165982.html
Thrilling Cities.,"FLEMING, Ian.","£27,500.00",https://www.peterharrington.co.uk/thrilling-cities-155994.html
"Nobody Lives For Ever, corrected manuscript.","FLEMING, Ian - GARDNER, John.","£27,500.00",https://www.peterharrington.co.uk/nobody-lives-for-ever-corrected-manuscript-156075.html
A Portrait of the Artist as a Young Man.,"JOYCE, James.","£27,500.00",https://www.peterharrington.co.uk/a-portrait-of-the-artist-as-a-young-man-154058.html
Washington Square.,"JAMES, Henry.","£27,500.00",https://www.peterharrington.co.uk/washington-square-151631.html
"De consolationae philosophiae. The boke of Boecius, called the comforte of philosophye, or wysedome,",BOETHIUS.,"£27,500.00",https://www.peterharrington.co.uk/de-consolationae-philosophiae-the-boke-of-boecius-called-the-comforte-of-philosophye-or-wysedome-164534.html
The Valley of Fear.,"DOYLE, Arthur Conan.","£25,000.00",https://www.peterharrington.co.uk/the-valley-of-fear-160355.html
"Voyage autour du monde, fait dans les années 1803, 1804, 1805 et 1806,","KRUSENSTERN, Adam Johann von.","£25,000.00",https://www.peterharrington.co.uk/voyage-autour-du-monde-fait-dans-les-annees-1803-1804-1805-et-1806-143059.html
"Upyr' (""The Vampire"").","TOLSTOY, Aleksey Konstantinovich, as Krasnogorsky.","£25,000.00",https://www.peterharrington.co.uk/upyr-the-vampire-155291.html
The Little Prince.,"SAINT-EXUPÉRY, Antoine de.","£25,000.00",https://www.peterharrington.co.uk/the-little-prince-169191.html
"Geological Observations on the Volcanic Islands,","DARWIN, Charles.","£25,000.00",https://www.peterharrington.co.uk/geological-observations-on-the-volcanic-islands.html
"A Picture of St. Petersburgh,",RUSSIA; St Petersburg - MORNAY (illus.),"£25,000.00",https://www.peterharrington.co.uk/a-picture-of-st-petersburgh-120459.html
